Package ID,Brand,Type,Tier,Label,Size,Current Mat,Current MSRP,Matched Product#,Pricebook Match Count,Audit Result
GM-V-GF,Goodman,GF,VALUE,Value · 80% AFUE,60k,1138.94,8249.0,,0,NEEDS MODEL MAPPING
GM-V-GF,Goodman,GF,VALUE,Value · 80% AFUE,80k,1164.94,8249.0,,0,NEEDS MODEL MAPPING
GM-V-GF,Goodman,GF,VALUE,Value · 80% AFUE,100k,1282.94,8749.0,,0,NEEDS MODEL MAPPING
GM-GD9S80-GF,Goodman,GF,GOOD,GD9S80 · 80% AFUE · Single stage,60k,1577.24,8499.0,,0,NEEDS MODEL MAPPING
GM-GD9S80-GF,Goodman,GF,GOOD,GD9S80 · 80% AFUE · Single stage,80k,1696.24,8999.0,,0,NEEDS MODEL MAPPING
GM-GDVT80-GF,Goodman,GF,BETTER,GDVT80 · 80% AFUE · Two stage,60k,2589.64,11249.0,,0,NEEDS MODEL MAPPING
GM-GDVT80-GF,Goodman,GF,BETTER,GDVT80 · 80% AFUE · Two stage,80k,2767.64,11999.0,,0,NEEDS MODEL MAPPING
GM-GDVT96-GF,Goodman,GF,BEST,GDVT96 · 96% AFUE · Variable,40k,2946.14,13749.0,,0,NEEDS MODEL MAPPING
GM-GDVT96-GF,Goodman,GF,BEST,GDVT96 · 96% AFUE · Variable,60k,3006.14,13999.0,,0,NEEDS MODEL MAPPING
GM-GDVT96-GF,Goodman,GF,BEST,GDVT96 · 96% AFUE · Variable,80k,3268.14,14749.0,,0,NEEDS MODEL MAPPING
GM-GDVT96-GF,Goodman,GF,BEST,GDVT96 · 96% AFUE · Variable,100k,3361.14,14999.0,,0,NEEDS MODEL MAPPING
GM-GLXS3-AC,Goodman,AC,GOOD,GLXS3 · 15 SEER AC + CAPTA,2T,3399.0,16499.0,,0,NEEDS MODEL MAPPING
GM-GLXS3-AC,Goodman,AC,GOOD,GLXS3 · 15 SEER AC + CAPTA,2.5T,3443.0,16499.0,,0,NEEDS MODEL MAPPING
GM-GLXS3-AC,Goodman,AC,GOOD,GLXS3 · 15 SEER AC + CAPTA,3T,3577.0,16999.0,,0,NEEDS MODEL MAPPING
GM-GLXS3-AC,Goodman,AC,GOOD,GLXS3 · 15 SEER AC + CAPTA,3.5T,3736.0,17499.0,,0,NEEDS MODEL MAPPING
GM-GLXS3-AC,Goodman,AC,GOOD,GLXS3 · 15 SEER AC + CAPTA,4T,3847.0,17999.0,,0,NEEDS MODEL MAPPING
GM-GLXS4-AC,Goodman,AC,BETTER,GLXS4 · 16 SEER AC + CAPTA,2T,4008.4,18249.0,,0,NEEDS MODEL MAPPING
GM-GLXS4-AC,Goodman,AC,BETTER,GLXS4 · 16 SEER AC + CAPTA,2.5T,4059.4,18499.0,,0,NEEDS MODEL MAPPING
GM-GLXS4-AC,Goodman,AC,BETTER,GLXS4 · 16 SEER AC + CAPTA,3T,4208.4,18999.0,,0,NEEDS MODEL MAPPING
GM-GLXS4-AC,Goodman,AC,BETTER,GLXS4 · 16 SEER AC + CAPTA,3.5T,4388.4,19499.0,,0,NEEDS MODEL MAPPING
GM-GLXS4-AC,Goodman,AC,BETTER,GLXS4 · 16 SEER AC + CAPTA,4T,4513.4,19999.0,,0,NEEDS MODEL MAPPING
GM-GLXS5-AC,Goodman,AC,BEST,GLXS5 · 17 SEER AC + CAPTA,2T,4612.3,20499.0,,0,NEEDS MODEL MAPPING
GM-GLXS5-AC,Goodman,AC,BEST,GLXS5 · 17 SEER AC + CAPTA,2.5T,4674.3,20749.0,,0,NEEDS MODEL MAPPING
GM-GLXS5-AC,Goodman,AC,BEST,GLXS5 · 17 SEER AC + CAPTA,3T,4852.3,21249.0,,0,NEEDS MODEL MAPPING
GM-GLXS5-AC,Goodman,AC,BEST,GLXS5 · 17 SEER AC + CAPTA,3.5T,5066.3,21999.0,,0,NEEDS MODEL MAPPING
GM-GLXS5-AC,Goodman,AC,BEST,GLXS5 · 17 SEER AC + CAPTA,4T,5216.3,22499.0,,0,NEEDS MODEL MAPPING
GM-GLXS3-ACGF8,Goodman,ACGF,GOOD,GLXS3+GD9S80 · 15 SEER/80%,2T,4007.3,18749.0,,0,NEEDS MODEL MAPPING
GM-GLXS3-ACGF8,Goodman,ACGF,GOOD,GLXS3+GD9S80 · 15 SEER/80%,2.5T,4145.9,18999.0,,0,NEEDS MODEL MAPPING
GM-GLXS3-ACGF8,Goodman,ACGF,GOOD,GLXS3+GD9S80 · 15 SEER/80%,3T,4424.2,19999.0,,0,NEEDS MODEL MAPPING
GM-GLXS3-ACGF8,Goodman,ACGF,GOOD,GLXS3+GD9S80 · 15 SEER/80%,3.5T,4714.6,20749.0,,0,NEEDS MODEL MAPPING
GM-GLXS3-ACGF8,Goodman,ACGF,GOOD,GLXS3+GD9S80 · 15 SEER/80%,4T,4836.7,21249.0,,0,NEEDS MODEL MAPPING
